Unnamed: 0,text
93,"Russia hopes military operation in Ukraine ends with security guarantees, expects Chinese relations to ""get stronger"" https://t.co/x22hycxjse #Russia #Ukraine #war #WarNews"
98,Indian pharma companies may increase trade with Russia; for more info kindly visit https://t.co/RcUehxaKM8 #Russia #pharmaceuticals https://t.co/TXPynZGd87
100,Russian aircraft are now bombing areas of Makeevka in Eastern Ukraine. There is apparently little or no Stinger missiles or Air Defence systems around that area. #Russia #Putin #Ukraine https://t.co/LaRUAamjcy
105,"The #Russian Aggression in #Ukraine 
The morning in #Odessa begins with sunrise at sea, birds singing
Only again the Russians spoil the whole picture with their aggression https://t.co/bfLoqBHwPX"
106,@maryilyushina @fpleitgenCNN Is there a #Russian law against drawing Hitler mustaches on #Putin posters? Asking for a few million pissed off #Russians
110,"Now a woman is tied to a pole and beaten. All in the name of nationalism by the Neo Nazi #Ukrainian government.
#Ukraine #UkraineInvasion #UkraineRussiaWar #Russia #Russian #RussianUkrainianWar #RussiaInvadedUkraine #RussiaUkraineWar #Putin https://t.co/pGE7V2vsoY"
111,"Russian army then: killing technologically advanced alien civilization using sticks and stones

Russian army now: getting their tanks stolen by pack of gypsies 

#Russian #RussianUkrainianWar #RussiaUkraine https://t.co/xZG3kVU06Y"
112,"Witchhunt in #Ukraine against journalists, activists and left-wing politicians https://t.co/YhC3ybqGs9 #Cleansing #Journalist #LeftwingActivists #Russia #War Oleg Yasinsky https://t.co/zoghpVUDH7"
116,"#Putin, you #fascist #Nazi #warcriminal, you can end this right now with just one more death. 

Take your pistol and end this. 

#WarCrimes #PutinIsAWarCriminal #WarCrime #TheHague 
#Sanctions #SanctionRussia #SanctionsRussiaNow #RubleCollapse #RubleToRubble #RubleIsRubble https://t.co/afOAQwSNBv https://t.co/OL3iB7v8nU"
119,"News | Russian bank given crypto license: China to monitor outflows #Crypto #Russia

https://t.co/MF6RLOrXxH"
121,"The top priority is to keep #US , #EU and #NATO away from #UkraineRussiaConflict .
https://t.co/scDUxZcB5Y https://t.co/DPNlFZP8p9"
123,@Benzinga Morning in Different Time Zone In #Ukraine And #Russia
125,"19 years since the #US invasion of #Iraq under the pretext of possessing weapons of mass destruction
The war and the American occupation of Iraq caused human losses estimated at one million dead and wounded.
#Russia
#Ukraine
#RussianUkrainianWar
#Europianunion
#USA
#NATO https://t.co/57DjuZzO26"
126,"At least 52 #Ukraine health facilities have been attacked by #Russia &amp; every one second, a Ukrainian child becomes a #refugee, says @who
@UNHR
https://t.co/78GtOWD5qm https://t.co/MRKdUtloMk"
132,"So #Russia says 400k+ people voluntarily went to Russia, but then #Putin he'll free them if #Kieve surrenders.

So Russia is supposedly liberating #Ukraine, and yet it'll #free people who ""volunteered"" to enter Russia the #Ukrainians surrender?

ð¤ð¤ð¤"
137,"Pontifex, once again, in #Russian: Mary, Mother of the Redeemer, we entrust the cry for the peace of nations oppressed by war and violence, so that the courage of dialogue and reconciliation will prevail over the temptations of revenge, arrogance, and corruption. https://t.co/GgMz6iYY8w"
