Unnamed: 0,text
135,"Been thinking a lot about this one lately, from @thebigissue a few years ago. #auspol #politicalcartoon #pundits #Ukraine #Putin #election #albo #albosglasses #scomo #etc #etc https://t.co/YDmOrakCzb"
147,"Bloody money: how #Nestle and #LeroyMerlin support killing Ukrainians
 
#StopRussia #StopPutin #StopSupportTerrorists #CancelRussia #CancelLeroyMerlin #NestleGetOutOfRussia https://t.co/rObbtYNce6"
165,One more Russian plane down. #HitHard #ZeebrasLoose #StopPutin #UkraineUnderAttaÑk #Ukraine #OneMoreDown https://t.co/467Gqdz1jJ
181,#Biden labels #Putin a â#butcherâ after meeting Ukrainian refugees. https://t.co/bb4tyxs5cV #Russia-#Ukraine #invasion
182,"That is their name. Semi trucks with food they provide are coming to the yard we operate now almost on daily basis, at no cost!!!! They cover everything!!! Food, logistics, everything!!! I can put so many exclamation marks but that still wouldn't be enough. #StopPutinNOW https://t.co/MFqpjWdfo1"
198,"@KellerZoe @LindaBr07293431 @SusanHu25307477 @AngelaRayner If anything caused #UkraineWar it was @PaulBrandITV 
#Cakegate as #mediascum plotted to topple the one world leader prepared to stand up to #FckPutin = @borisjohnson !"
200,"History and Other Stuff: Putin Man, Progress, and The End of History https://t.co/gQkBVLmJOf #Putin #PutinIsaWarCriminal #history #Hegel #Marx #Camus #UkraineRussianWar #Ukraine️ #UkraineRussiaWar #Fukyama https://t.co/13VMdA2XXf"
202,@RawStory @RaeMargaret61 #Putin can't run an army and I doubt that he can run a @McDonalds
203,"Putin is, exactly, Adolf Hitler reincarnated &amp; he's escalating.  It will just be a matter of time before he steps over the border, if Ukraine doesn't stop his troops. #StopPutin #StopRussia #StopPutinNOW #StopPutinsWar #FckPutin 
https://t.co/zbo2vpLpKx"
207,"Oligarch in the Russian Orthodox Church too, Patriarch Kirill, close #Putin partner &amp; supporter. #Ukraine #Russia #PutinsWar https://t.co/l3TrLE5jqL"
208,"To beat a Mafia Boss #Putin, 
You have to have been a Mafia Boss to think like a Mafia black Soul.

""He IS BLUFFING about signalling he will go #nuclear 
#NATO #Biden .

""CALL HIS BLUFF!"" 

#NoFlyZoneInUkraineNow 
#PutinsWar #ukranierussiawar 
#OperationWormMoon ⭕Mi7"
214,"Accurate 
#Russia #Ukraine️ #Putin #BidenIsALaughingstock #gas #UnitedNations #UkraineRussiaWar 
👇🏻 https://t.co/CWGqJrtzbP"
236,"@lexfridman Lex, your silence is deafening. I’m eagerly awaiting to hear your thoughts, and hoping you can shed light as to why you haven’t condemned #Putin"
242,@MPrepuce Oh God no. Gettaefvck #Johnson  Gettaefvck #Putin  #Gettaefvck  #Brexit . I can never move on. Because all that is still here.
244,Belarusians fighting for #Ukraine #StopPutinNOW https://t.co/OJ9gXWA9Kh
256,"I’m not there is the ability or the political will to do that,( sanction a hundred oligarchs)

and I think that is the necessary next step if we want to contain Vladimir Putin @Billbrowder 

Tell Tories #100Oligarchs

#DefeatPutin #StandWithUkraine https://t.co/gqjE7vVuUw"
260,"Vladimir #Putin is a wimp, a wuss. He kills women and children."
262,"#Putin is now only ending his charade on #ECHR  
 #GenevaConvention and other rules of ""ius belli"" and ""ius in bellum"". #Shameless #atrocity  rules !! https://t.co/iC3UnsiUQr"
267,"@JJCarafano Oy #POTUS!

#Obama &amp; #ClimateChange #SolutionsTyranny in ignorance - #ZonesOfIgnorance - caused #Ukraine #Ukrainian #Putin problem?

#FreeReads sorted on related #BLASPHEMY of #BarackObama reads #CONSTITUTION &amp; #BIBLE errantly via:

https://t.co/GPZzZ4qDww

#Russia #Christians? https://t.co/zZmck85Zu6"
270,"@Mohammed2030___ February 24 of 2022 Vladimir #Putin started the last war of the human race, #WW3. All 8 billion of us will die in it! -- People should do something to stop this!"
273,Who says human beings are all equal? #PaulBiya have killed  40k Southern Cameroonians the world have been dead silent as if we are not human beings but see the support for #UkraineWar against #Putin then you will see inequality @trussliz @NanaiaMahuta @MarisePayne @melaniejoly https://t.co/ztydrhcV0o
283,"@graeyfox @JusticeEarthlin @joncoopertweets @SecDef @POTUS Poland is trying to protect itself frm Putin just like US. Somehow all must stand up to a Hitler-like bully &amp; not leave #UkraineUnderAttack as we send weapons, just  not jets. #Putin already declared war due to sanctions. #Ukraine needs jets. Send them &amp; save lives/#democracy. https://t.co/JfuqyX3ujU"
288,"I SUPPORT UKRAINE 🇺🇦

STOP THE WAR

#SlavaUkraini #StopRussia #StopPutin #PutinWarCriminal #NFT #NFTCommunity #LGBTQ #nftcollector #cryptoartist #NFTs #wezenaar #rickwezenaar https://t.co/B3kl1xgNOS"
293,"Glory to Ukraine 
#UkraineUnderAttack #UkraineRussiaWar #PutinHitler #PutinWarCrimes #PutinsPuppet #Putin #Zelensky #Zelenski #ZelenskyyIsAHero #IStandWithUkraine️ #IStandWithUkriane #GloryToUkraine #UkraineResist https://t.co/ThpGfCKq1S"
296,"@Cern_lXXl @Atheist_Globe February 24 of 2022 Vladimir #Putin started the last war of the human race, WW3. All 8 billion of us will die in it! -- People should do something to stop this!"
299,Brook Tha Don - Spring Cleaning https://t.co/ZJ7CJBMcSP via @YouTube #UkraineRussie #Ukrainian #Ucraina #UkraineRussiaWar #Ucrania #Rusia #RussiaUkraineWar #Putin #PutinsWarCrimes #PutinLies
300,"Gore content.
This ain't #Russia of #Putin, this is #Albania under #EdiRama. NATO member. 182 rising arrested &amp; mistreated. Are protesting against kakistocracy! To @ediramaal, Albanian should be ashamed not to dissent instead, vs #Russian aggression in #Ukraine! Shqiperi shqiptar https://t.co/wTJuUcwNPS"
308,"☢️NEW EPISODE!☢️ 

In a change to our scheduled programming we begin a season of #podcasts on things with a Russian flavour, (a) in view of #PutinsWar and (b) while we're still alive.

First up is the superb @HBO_UK and Sky mini-series #Chernobyl.

https://t.co/t1qH53njUT https://t.co/iyGMdBElAS"
